epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,209.545,1.16594,0.85084,1.28998,0.61147,0.62963,0.60753,0.32447,1.8399,1.4508,1.83746,0.000874842,0.000874842,0.000874842
74,211.975,1.21611,0.90102,1.4401,0.54619,0.62963,0.55132,0.2898,1.88188,1.53336,1.85867,0.000863839,0.000863839,0.000863839
75,214.441,1.14227,0.83667,1.28933,0.58103,0.51852,0.5349,0.26655,1.97129,1.6581,1.98102,0.000852837,0.000852837,0.000852837
76,216.913,1.19455,0.82273,1.2714,0.56127,0.55556,0.51159,0.24332,2.01373,1.64547,2.04301,0.000841835,0.000841835,0.000841835
77,219.313,1.14661,0.80649,1.30694,0.50829,0.59259,0.48837,0.23922,2.06699,1.64654,2.07937,0.000830833,0.000830833,0.000830833
78,221.598,1.15722,0.84529,1.33128,0.68553,0.51852,0.60856,0.29556,1.90799,1.56679,1.93373,0.000819831,0.000819831,0.000819831
79,223.875,1.10044,0.77399,1.2684,0.73208,0.48148,0.5912,0.27934,1.77383,1.56721,1.81495,0.000808828,0.000808828,0.000808828
80,226.22,1.1843,0.83439,1.40232,0.52989,0.62963,0.59258,0.28801,1.98052,1.56019,1.91176,0.000797826,0.000797826,0.000797826
81,228.487,1.18453,0.84585,1.39889,0.59338,0.66667,0.59029,0.27428,1.90304,1.59859,1.82741,0.000786824,0.000786824,0.000786824
82,230.769,1.15905,0.81315,1.32564,0.88602,0.44444,0.58289,0.26657,1.90502,1.74133,1.90433,0.000775822,0.000775822,0.000775822
83,233.071,1.09987,0.83645,1.24516,0.68991,0.40741,0.48217,0.24827,1.9227,1.78333,1.92415,0.00076482,0.00076482,0.00076482
84,235.367,1.13965,0.83492,1.31258,0.67513,0.53921,0.58445,0.26569,2.00478,1.73699,1.98776,0.000753817,0.000753817,0.000753817
85,237.619,1.0824,0.77635,1.27182,0.6521,0.59259,0.59621,0.26541,2.07281,1.66634,2.03519,0.000742815,0.000742815,0.000742815
86,239.885,1.13215,0.83935,1.33051,0.58974,0.58586,0.5719,0.30647,1.87449,1.78486,1.81898,0.000731813,0.000731813,0.000731813
87,242.217,1.04259,0.75589,1.24399,0.65667,0.51852,0.56816,0.30136,1.90366,1.84234,1.91072,0.000720811,0.000720811,0.000720811
88,244.757,1.12214,0.77197,1.31481,0.51736,0.55556,0.52346,0.26284,1.90016,1.96844,1.83219,0.000709809,0.000709809,0.000709809
89,247.422,0.98455,0.76817,1.23301,0.58161,0.51499,0.51708,0.26776,1.92095,1.98794,1.83518,0.000698806,0.000698806,0.000698806
90,249.982,1.10138,0.72013,1.32313,0.72853,0.51852,0.55635,0.25113,2.08432,1.73692,2.10404,0.000687804,0.000687804,0.000687804
91,252.293,1.03465,0.72047,1.23419,0.81431,0.51852,0.53109,0.26668,1.91952,1.72027,1.93077,0.000676802,0.000676802,0.000676802
92,254.587,1.08828,0.80868,1.26101,0.74132,0.55556,0.52725,0.25123,1.92634,1.55936,2.04892,0.0006658,0.0006658,0.0006658
93,256.866,1.10565,0.73588,1.27624,0.71152,0.59259,0.54102,0.27927,1.88417,1.47531,2.06324,0.000654798,0.000654798,0.000654798
94,259.175,0.88377,0.65214,1.11803,0.81784,0.59259,0.68816,0.34067,1.82618,1.23932,1.95778,0.000643795,0.000643795,0.000643795
95,261.496,1.01402,0.69094,1.25696,0.85224,0.66667,0.74214,0.36162,1.88952,1.13165,2.02837,0.000632793,0.000632793,0.000632793
96,263.857,0.92344,0.67121,1.14672,0.82677,0.66667,0.72922,0.35723,1.94673,1.14677,2.0838,0.000621791,0.000621791,0.000621791
97,266.164,0.92723,0.63029,1.15629,0.74658,0.62963,0.70005,0.33553,1.80828,1.30937,1.88382,0.000610789,0.000610789,0.000610789
98,268.515,1.03721,0.86283,1.29584,0.68097,0.48148,0.60656,0.3088,1.94777,1.62872,1.94284,0.000599787,0.000599787,0.000599787
99,270.842,0.98439,0.68832,1.20688,0.60522,0.48148,0.57669,0.28452,1.99032,1.68213,1.98029,0.000588784,0.000588784,0.000588784
100,273.207,1.00406,0.68434,1.21807,0.80281,0.51852,0.60402,0.28745,1.98929,1.48032,2.00211,0.000577782,0.000577782,0.000577782
101,275.561,1.10493,0.76583,1.2242,0.82303,0.59259,0.61286,0.28536,1.98651,1.41831,2.04396,0.00056678,0.00056678,0.00056678
102,277.858,0.94258,0.66436,1.19358,0.74994,0.55556,0.5997,0.3122,2.02555,1.34418,2.16077,0.000555778,0.000555778,0.000555778
103,280.126,1.0115,0.67956,1.21,0.76731,0.59259,0.63296,0.3116,1.91127,1.43495,2.01206,0.000544776,0.000544776,0.000544776
104,282.402,1.05799,0.78094,1.26963,0.747,0.7037,0.64686,0.35522,1.8106,1.43528,1.79981,0.000533773,0.000533773,0.000533773
105,284.658,1.00753,0.65201,1.22699,0.81205,0.64044,0.63,0.34832,1.82764,1.42642,1.82913,0.000522771,0.000522771,0.000522771
106,286.991,1.04527,0.67573,1.22762,0.75401,0.66667,0.6356,0.32586,1.83911,1.38959,1.87657,0.000511769,0.000511769,0.000511769
107,289.512,1.01297,0.68478,1.25397,0.70738,0.66667,0.65838,0.32175,1.7869,1.41388,1.84915,0.000500767,0.000500767,0.000500767
108,292.632,0.93247,0.63235,1.11883,0.71678,0.59259,0.61662,0.29604,1.90972,1.59056,2.04785,0.000489765,0.000489765,0.000489765
109,295.468,0.93266,0.62187,1.13956,0.7651,0.51852,0.59813,0.27715,1.90469,1.58603,2.06079,0.000478762,0.000478762,0.000478762
110,298.389,0.91176,0.61327,1.1391,0.67082,0.62963,0.5701,0.2768,1.86112,1.76051,1.91876,0.00046776,0.00046776,0.00046776
111,301.263,0.97347,0.65097,1.16575,0.60404,0.62173,0.56111,0.2794,1.90423,1.76919,1.92669,0.000456758,0.000456758,0.000456758
112,304.335,0.96385,0.70542,1.22422,0.68627,0.64849,0.62446,0.29036,1.86004,1.73675,1.88596,0.000445756,0.000445756,0.000445756
113,307.29,0.91813,0.60598,1.1117,0.65066,0.62112,0.60212,0.303,1.83841,1.76448,1.87451,0.000434754,0.000434754,0.000434754
114,310.227,0.9628,0.68058,1.20027,0.63207,0.573,0.59547,0.31355,1.71426,1.65363,1.73636,0.000423751,0.000423751,0.000423751
115,313.167,0.96146,0.63386,1.20002,0.67974,0.55556,0.59856,0.30213,1.73975,1.50676,1.76912,0.000412749,0.000412749,0.000412749
116,316.159,0.9219,0.63251,1.19291,0.70599,0.66667,0.68723,0.32759,1.87006,1.37341,1.95261,0.000401747,0.000401747,0.000401747
117,319.215,0.9057,0.5632,1.1356,0.65152,0.7037,0.68648,0.33439,1.83996,1.35907,1.89109,0.000390745,0.000390745,0.000390745
118,322.245,0.94376,0.61657,1.11607,0.76277,0.62963,0.66119,0.33305,1.87353,1.33838,2.01176,0.000379743,0.000379743,0.000379743
119,325.174,0.88751,0.56477,1.09189,0.76375,0.59891,0.6449,0.34582,1.82882,1.3764,1.96541,0.00036874,0.00036874,0.00036874
120,328.11,0.90472,0.598,1.15782,0.63504,0.64477,0.62126,0.34337,1.84494,1.46819,1.96134,0.000357738,0.000357738,0.000357738
121,331.021,0.8032,0.55966,1.0704,0.8565,0.51852,0.63656,0.35211,1.89488,1.45383,2.02324,0.000346736,0.000346736,0.000346736
122,333.934,0.898,0.57976,1.19753,0.75231,0.59259,0.64904,0.34071,1.8952,1.40835,2.02664,0.000335734,0.000335734,0.000335734
123,336.245,0.89526,0.62808,1.10865,0.78677,0.54699,0.60107,0.32008,1.97976,1.43833,2.1261,0.000324732,0.000324732,0.000324732
124,338.762,0.86222,0.57792,1.14268,0.74839,0.55103,0.59382,0.30402,1.92963,1.4543,2.00213,0.000313729,0.000313729,0.000313729
125,341.165,0.87729,0.57421,1.14015,0.73071,0.55556,0.58916,0.30699,1.91051,1.41213,1.98721,0.000302727,0.000302727,0.000302727
126,343.615,0.86237,0.56016,1.1482,0.79243,0.59259,0.67694,0.34529,1.96647,1.31743,2.09982,0.000291725,0.000291725,0.000291725
127,346.038,0.84835,0.52951,1.08974,0.65153,0.66667,0.67206,0.34466,1.95919,1.32794,2.07298,0.000280723,0.000280723,0.000280723
128,348.514,0.78103,0.53647,1.08552,0.64133,0.66238,0.66143,0.36071,1.86969,1.46212,1.97912,0.000269721,0.000269721,0.000269721
129,351.013,0.87888,0.59078,1.13817,0.75859,0.58228,0.67254,0.34,1.86321,1.52972,1.96752,0.000258718,0.000258718,0.000258718
130,353.388,0.8873,0.59815,1.11103,0.77135,0.55556,0.65273,0.34178,1.85012,1.42839,1.99914,0.000247716,0.000247716,0.000247716
131,355.71,0.87377,0.59941,1.1349,0.82789,0.53499,0.65717,0.34666,1.83369,1.35849,2.00589,0.000236714,0.000236714,0.000236714
132,358.212,0.85561,0.54354,1.08824,0.7633,0.62963,0.65366,0.34066,1.80348,1.34721,1.98848,0.000225712,0.000225712,0.000225712
133,360.715,0.85416,0.5654,1.13605,0.79347,0.62963,0.658,0.341,1.78833,1.40015,1.93291,0.00021471,0.00021471,0.00021471
134,363.154,0.78963,0.56287,1.08167,0.83343,0.62963,0.66871,0.34866,1.84841,1.35523,1.96759,0.000203707,0.000203707,0.000203707
135,365.471,0.90672,0.62244,1.12259,0.83751,0.62963,0.65773,0.32846,1.8519,1.38381,1.96487,0.000192705,0.000192705,0.000192705
