epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,36.8243,1.007,1.36113,1.30502,0.05263,1,0.06525,0.04757,1.21635,68.5983,2.66275,0.000706048,0.000706048,0.000706048
58,37.3999,1.08821,1.09798,1.26454,0.05263,1,0.06525,0.04757,1.21635,68.5983,2.66275,0.000711132,0.000711132,0.000711132
59,37.9493,0.82709,1.09285,1.16045,0.05263,1,0.06525,0.04757,1.21635,68.5983,2.66275,0.000715952,0.000715952,0.000715952
60,38.5528,1.21123,1.21654,1.35821,0.11538,0.75,0.655,0.41983,1.38015,67.8351,2.2659,0.000720508,0.000720508,0.000720508
61,39.1017,0.826,1.12293,1.48851,0.11538,0.75,0.655,0.41983,1.38015,67.8351,2.2659,0.0007248,0.0007248,0.0007248
62,39.9541,1.22533,1.30965,1.50047,0.11538,0.75,0.655,0.41983,1.38015,67.8351,2.2659,0.000728828,0.000728828,0.000728828
63,40.5867,1.0587,1.03154,1.39069,0.375,0.75,0.56423,0.42413,1.21061,33.7277,1.91298,0.000732592,0.000732592,0.000732592
64,41.164,0.99226,1.32212,1.34664,0.375,0.75,0.56423,0.42413,1.21061,33.7277,1.91298,0.000736092,0.000736092,0.000736092
65,41.7344,1.14807,1.35429,1.67227,0.375,0.75,0.56423,0.42413,1.21061,33.7277,1.91298,0.000739328,0.000739328,0.000739328
66,42.3099,0.86411,1.10686,1.15441,1,0.5,0.62917,0.40914,1.3135,17.0182,1.69301,0.0007423,0.0007423,0.0007423
67,42.872,1.15538,1.69,1.29761,1,0.5,0.62917,0.40914,1.3135,17.0182,1.69301,0.000745008,0.000745008,0.000745008
68,43.4309,1.32787,1.59526,1.33771,1,0.5,0.62917,0.40914,1.3135,17.0182,1.69301,0.000747452,0.000747452,0.000747452
69,44.0144,1.20357,1.88855,1.6041,1,0.75,0.945,0.55678,1.02752,12.4476,1.47589,0.000749632,0.000749632,0.000749632
70,44.5702,1.11353,1.42316,1.38505,1,0.75,0.945,0.55678,1.02752,12.4476,1.47589,0.000751548,0.000751548,0.000751548
71,45.1271,1.08517,1.47313,1.4646,1,0.75,0.945,0.55678,1.02752,12.4476,1.47589,0.0007532,0.0007532,0.0007532
72,45.6892,0.68325,1.01554,0.97401,0.33333,1,0.70333,0.42091,1.11835,24.4422,1.77602,0.000754588,0.000754588,0.000754588
73,46.2441,1.04619,0.93413,1.19719,0.33333,1,0.70333,0.42091,1.11835,24.4422,1.77602,0.000755712,0.000755712,0.000755712
74,46.7821,0.84588,1.00804,1.34103,0.33333,1,0.70333,0.42091,1.11835,24.4422,1.77602,0.000756572,0.000756572,0.000756572
75,47.346,0.74537,1.05781,1.26774,0.36364,1,0.87,0.48744,1.40334,24.9518,2.06647,0.000757168,0.000757168,0.000757168
